Jahr;Geschlecht;Alter;Sterbewahrscheinlichkeit (q(x));Überlebende (l(x));Gestorbene (d(x));Überlebenszeit (L(x));Verbleibende Lebenserwartung (T(x));Fernere Lebenserwartung (e(x))
1947;Männlich;000;0,0860510;100 000;8 605;93 770;5 944 307;59,44
1947;Weiblich;000;0,0699910;100 000;6 999;94 933;6 442 759;64,43
1947;Männlich;001;0,0082010;91 395;750;91 020;5 850 537;64,01
1947;Weiblich;001;0,0063720;93 001;593;92 705;6 347 826;68,26
1947;Männlich;002;0,0049320;90 645;447;90 422;5 759 516;63,54
1947;Weiblich;002;0,0044420;92 408;410;92 203;6 255 122;67,69
1947;Männlich;003;0,0033410;90 198;301;90 048;5 669 095;62,85
1947;Weiblich;003;0,0033100;91 998;305;91 846;6 162 919;66,99
1947;Männlich;004;0,0027100;89 897;244;89 775;5 579 047;62,06
1947;Weiblich;004;0,0023580;91 693;216;91 585;6 071 073;66,21
1947;Männlich;005;0,0019830;89 653;178;89 564;5 489 272;61,23
1947;Weiblich;005;0,0017670;91 477;162;91 396;5 979 488;65,37
1947;Männlich;006;0,0014480;89 476;130;89 411;5 399 707;60,35
1947;Weiblich;006;0,0012430;91 315;114;91 259;5 888 092;64,48
1947;Männlich;007;0,0016540;89 346;148;89 272;5 310 297;59,44
1947;Weiblich;007;0,0012950;91 202;118;91 143;5 796 833;63,56
1947;Männlich;008;0,0014860;89 198;133;89 132;5 221 025;58,53
1947;Weiblich;008;0,0011460;91 084;104;91 032;5 705 690;62,64
1947;Männlich;009;0,0010320;89 066;92;89 020;5 131 893;57,62
1947;Weiblich;009;0,0008650;90 979;79;90 940;5 614 659;61,71
1947;Männlich;010;0,0013450;88 974;120;88 914;5 042 873;56,68
1947;Weiblich;010;0,0011610;90 901;106;90 848;5 523 718;60,77
1947;Männlich;011;0,0016280;88 854;145;88 782;4 953 959;55,75
1947;Weiblich;011;0,0009600;90 795;87;90 752;5 432 870;59,84
1947;Männlich;012;0,0010430;88 709;93;88 663;4 865 177;54,84
1947;Weiblich;012;0,0009210;90 708;84;90 666;5 342 119;58,89
1947;Männlich;013;0,0010790;88 617;96;88 569;4 776 514;53,90
1947;Weiblich;013;0,0011690;90 625;106;90 572;5 251 452;57,95
1947;Männlich;014;0,0014490;88 521;128;88 457;4 687 945;52,96
1947;Weiblich;014;0,0011330;90 519;103;90 467;5 160 881;57,01
1947;Männlich;015;0,0016770;88 393;148;88 319;4 599 488;52,03
1947;Weiblich;015;0,0012930;90 416;117;90 358;5 070 414;56,08
1947;Männlich;016;0,0015820;88 245;140;88 175;4 511 169;51,12
1947;Weiblich;016;0,0016410;90 299;148;90 225;4 980 056;55,15
1947;Männlich;017;0,0023140;88 105;204;88 003;4 422 994;50,20
1947;Weiblich;017;0,0018160;90 151;164;90 069;4 889 831;54,24
1947;Männlich;018;0,0025210;87 901;222;87 791;4 334 991;49,32
1947;Weiblich;018;0,0016680;89 987;150;89 912;4 799 762;53,34
1947;Männlich;019;0,0031170;87 680;273;87 543;4 247 200;48,44
1947;Weiblich;019;0,0020180;89 837;181;89 746;4 709 850;52,43
1947;Männlich;020;0,0032360;87 406;283;87 265;4 159 657;47,59
1947;Weiblich;020;0,0025540;89 656;229;89 541;4 620 103;51,53
1947;Männlich;021;0,0030880;87 124;269;86 989;4 072 392;46,74
1947;Weiblich;021;0,0028030;89 427;251;89 302;4 530 562;50,66
1947;Männlich;022;0,0037530;86 855;326;86 692;3 985 403;45,89
1947;Weiblich;022;0,0023590;89 176;210;89 071;4 441 260;49,80
1947;Männlich;023;0,0038160;86 529;330;86 363;3 898 712;45,06
1947;Weiblich;023;0,0022210;88 966;198;88 867;4 352 189;48,92
1947;Männlich;024;0,0034760;86 198;300;86 049;3 812 348;44,23
1947;Weiblich;024;0,0026590;88 768;236;88 650;4 263 322;48,03
1947;Männlich;025;0,0033000;85 899;283;85 757;3 726 300;43,38
1947;Weiblich;025;0,0021440;88 532;190;88 437;4 174 672;47,15
1947;Männlich;026;0,0032720;85 615;280;85 475;3 640 543;42,52
1947;Weiblich;026;0,0027800;88 342;246;88 220;4 086 235;46,25
1947;Männlich;027;0,0037150;85 335;317;85 177;3 555 067;41,66
1947;Weiblich;027;0,0025280;88 097;223;87 985;3 998 015;45,38
1947;Männlich;028;0,0030850;85 018;262;84 887;3 469 891;40,81
1947;Weiblich;028;0,0022040;87 874;194;87 777;3 910 030;44,50
1947;Männlich;029;0,0030560;84 756;259;84 626;3 385 004;39,94
1947;Weiblich;029;0,0021020;87 680;184;87 588;3 822 253;43,59
1947;Männlich;030;0,0038680;84 497;327;84 333;3 300 377;39,06
1947;Weiblich;030;0,0030830;87 496;270;87 361;3 734 664;42,68
1947;Männlich;031;0,0032890;84 170;277;84 032;3 216 044;38,21
1947;Weiblich;031;0,0026520;87 226;231;87 111;3 647 303;41,81
1947;Männlich;032;0,0038790;83 893;325;83 730;3 132 012;37,33
1947;Weiblich;032;0,0030370;86 995;264;86 863;3 560 192;40,92
1947;Männlich;033;0,0032540;83 568;272;83 432;3 048 282;36,48
1947;Weiblich;033;0,0027600;86 731;239;86 611;3 473 330;40,05
1947;Männlich;034;0,0040100;83 296;334;83 129;2 964 850;35,59
1947;Weiblich;034;0,0030820;86 491;267;86 358;3 386 718;39,16
1947;Männlich;035;0,0033000;82 962;274;82 825;2 881 721;34,74
1947;Weiblich;035;0,0029070;86 225;251;86 100;3 300 360;38,28
1947;Männlich;036;0,0043350;82 688;358;82 509;2 798 897;33,85
1947;Weiblich;036;0,0029210;85 974;251;85 849;3 214 261;37,39
1947;Männlich;037;0,0043900;82 330;361;82 149;2 716 388;32,99
1947;Weiblich;037;0,0030670;85 723;263;85 592;3 128 412;36,49
1947;Männlich;038;0,0050840;81 968;417;81 760;2 634 239;32,14
1947;Weiblich;038;0,0035740;85 460;305;85 307;3 042 820;35,61
1947;Männlich;039;0,0048820;81 551;398;81 352;2 552 479;31,30
1947;Weiblich;039;0,0035430;85 155;302;85 004;2 957 513;34,73
1947;Männlich;040;0,0050490;81 153;410;80 948;2 471 127;30,45
1947;Weiblich;040;0,0040660;84 853;345;84 681;2 872 509;33,85
1947;Männlich;041;0,0050000;80 744;404;80 542;2 390 178;29,60
1947;Weiblich;041;0,0039360;84 508;333;84 342;2 787 829;32,99
